eXtreme Gradient Boosting 

6929 samples
  37 predictor
   2 classes: 'Acer', 'Sony' 

Pre-processing: centered (37), scaled (37) 
Resampling: Bootstrapped (12 reps) 
Summary of sample sizes: 5774, 5775, 5774, 5774, 5774, 5774, ... 
Resampling results across tuning parameters:

  eta  max_depth  colsample_bytree  subsample  nrounds  ROC        Sens       Spec     
  0.3  1          0.6               0.50        50      0.7862269  0.6625379  0.7663649
  0.3  1          0.6               0.50       100      0.7842413  0.6484178  0.7732126
  0.3  1          0.6               0.50       150      0.7830546  0.6421266  0.7768106
  0.3  1          0.6               0.75        50      0.7872691  0.6549049  0.7708914
  0.3  1          0.6               0.75       100      0.7855782  0.6442221  0.7759981
  0.3  1          0.6               0.75       150      0.7839599  0.6392627  0.7786676
  0.3  1          0.6               1.00        50      0.7885793  0.6491862  0.7744893
  0.3  1          0.6               1.00       100      0.7858894  0.6379274  0.7788997
  0.3  1          0.6               1.00       150      0.7860842  0.6354466  0.7804085
  0.3  1          0.8               0.50        50      0.7869215  0.6545283  0.7704271
  0.3  1          0.8               0.50       100      0.7832023  0.6402210  0.7794800
  0.3  1          0.8               0.50       150      0.7831238  0.6352572  0.7819174
  0.3  1          0.8               0.75        50      0.7874580  0.6486106  0.7727484
  0.3  1          0.8               0.75       100      0.7842537  0.6384977  0.7793640
  0.3  1          0.8               0.75       150      0.7830606  0.6377371  0.7808728
  0.3  1          0.8               1.00        50      0.7892876  0.6467046  0.7765785
  0.3  1          0.8               1.00       100      0.7866712  0.6375456  0.7788997
  0.3  1          0.8               1.00       150      0.7861195  0.6352551  0.7807567
  0.3  2          0.6               0.50        50      0.8976238  0.8212313  0.8228877
  0.3  2          0.6               0.50       100      0.9382419  0.8815370  0.8660631
  0.3  2          0.6               0.50       150      0.9555705  0.9004270  0.8917131
  0.3  2          0.6               0.75        50      0.8919483  0.8273667  0.8180130
  0.3  2          0.6               0.75       100      0.9489227  0.8918441  0.8803389
  0.3  2          0.6               0.75       150      0.9594099  0.9019539  0.8996054
  0.3  2          0.6               1.00        50      0.8742525  0.7905732  0.8006035
  0.3  2          0.6               1.00       100      0.9265185  0.8762028  0.8419220
  0.3  2          0.6               1.00       150      0.9413718  0.8903159  0.8662953
  0.3  2          0.8               0.50        50      0.9414540  0.8878172  0.8628134
  0.3  2          0.8               0.50       100      0.9614474  0.9048108  0.9054085
  0.3  2          0.8               0.50       150      0.9682463  0.9029030  0.9175952
  0.3  2          0.8               0.75        50      0.9306438  0.8884089  0.8483055
  0.3  2          0.8               0.75       100      0.9629177  0.9090070  0.8987929
  0.3  2          0.8               0.75       150      0.9702770  0.9038565  0.9168988
  0.3  2          0.8               1.00        50      0.9253518  0.8882235  0.8322888
  0.3  2          0.8               1.00       100      0.9530275  0.9004270  0.8857939
  0.3  2          0.8               1.00       150      0.9652276  0.9053833  0.9098189
  0.3  3          0.6               0.50        50      0.9587975  0.9021372  0.8954271
  0.3  3          0.6               0.50       100      0.9708284  0.9061474  0.9202646
  0.3  3          0.6               0.50       150      0.9734358  0.8988989  0.9272284
  0.3  3          0.6               0.75        50      0.9514218  0.8954541  0.8789461
  0.3  3          0.6               0.75       100      0.9692518  0.9137765  0.9181755
  0.3  3          0.6               0.75       150      0.9728097  0.9051935  0.9222377
  0.3  3          0.6               1.00        50      0.9334938  0.8485355  0.8649025
  0.3  3          0.6               1.00       100      0.9671939  0.9074854  0.9086583
  0.3  3          0.6               1.00       150      0.9729291  0.9051944  0.9218895
  0.3  3          0.8               0.50        50      0.9657222  0.9107232  0.9128366
  0.3  3          0.8               0.50       100      0.9731008  0.9009974  0.9242108
  0.3  3          0.8               0.50       150      0.9742350  0.8958469  0.9269963
  0.3  3          0.8               0.75        50      0.9674150  0.9101546  0.9103993
  0.3  3          0.8               0.75       100      0.9745027  0.9071013  0.9221216
  0.3  3          0.8               0.75       150      0.9752145  0.8996643  0.9254875
  0.3  3          0.8               1.00        50      0.9594870  0.9063241  0.8928737
  0.3  3          0.8               1.00       100      0.9735199  0.9084362  0.9247911
  0.3  3          0.8               1.00       150      0.9761087  0.9019522  0.9278087
  0.4  1          0.6               0.50        50      0.7849908  0.6554813  0.7676416
  0.4  1          0.6               0.50       100      0.7833570  0.6388752  0.7776230
  0.4  1          0.6               0.50       150      0.7820606  0.6339233  0.7770427
  0.4  1          0.6               0.75        50      0.7859108  0.6518564  0.7712396
  0.4  1          0.6               0.75       100      0.7833622  0.6386911  0.7787837
  0.4  1          0.6               0.75       150      0.7826538  0.6339237  0.7816852
  0.4  1          0.6               1.00        50      0.7865234  0.6491810  0.7725162
  0.4  1          0.6               1.00       100      0.7856699  0.6377341  0.7773909
  0.4  1          0.6               1.00       150      0.7849078  0.6365908  0.7793640
  0.4  1          0.8               0.50        50      0.7843345  0.6493756  0.7749536
  0.4  1          0.8               0.50       100      0.7824754  0.6354479  0.7801764
  0.4  1          0.8               0.50       150      0.7813914  0.6327787  0.7835422
  0.4  1          0.8               0.75        50      0.7856686  0.6442247  0.7740251
  0.4  1          0.8               0.75       100      0.7838198  0.6383118  0.7787837
  0.4  1          0.8               0.75       150      0.7825925  0.6360200  0.7802925
  0.4  1          0.8               1.00        50      0.7866689  0.6407874  0.7765785
  0.4  1          0.8               1.00       100      0.7860540  0.6362094  0.7771588
  0.4  1          0.8               1.00       150      0.7852261  0.6352555  0.7792479
  0.4  2          0.6               0.50        50      0.9118348  0.8306068  0.8396007
  0.4  2          0.6               0.50       100      0.9383530  0.8739074  0.8722145
  0.4  2          0.6               0.50       150      0.9541460  0.8889762  0.8939183
  0.4  2          0.6               0.75        50      0.9118941  0.8366902  0.8426184
  0.4  2          0.6               0.75       100      0.9502490  0.8880241  0.8823120
  0.4  2          0.6               0.75       150      0.9613311  0.8962327  0.9051764
  0.4  2          0.6               1.00        50      0.9042125  0.8473804  0.8274141
  0.4  2          0.6               1.00       100      0.9418735  0.8813498  0.8738394
  0.4  2          0.6               1.00       150      0.9577846  0.8981295  0.8969359
  0.4  2          0.8               0.50        50      0.9397876  0.8738882  0.8621170
  0.4  2          0.8               0.50       100      0.9661557  0.9027114  0.9134169
  0.4  2          0.8               0.50       150      0.9700558  0.9000457  0.9196843
  0.4  2          0.8               0.75        50      0.9434462  0.8971848  0.8573584
  0.4  2          0.8               0.75       100      0.9668488  0.9006160  0.9097029
  0.4  2          0.8               0.75       150      0.9713835  0.8994714  0.9193361
  0.4  2          0.8               1.00        50      0.9365614  0.8670416  0.8587512
  0.4  2          0.8               1.00       100      0.9628588  0.9036658  0.9008821
  0.4  2          0.8               1.00       150      0.9702184  0.9027106  0.9163185
  0.4  3          0.6               0.50        50      0.9630028  0.8979480  0.9051764
  0.4  3          0.6               0.50       100      0.9715351  0.8979463  0.9261838
  0.4  3          0.6               0.50       150      0.9718957  0.8975636  0.9253714
  0.4  3          0.6               0.75        50      0.9596005  0.9011907  0.9019266
  0.4  3          0.6               0.75       100      0.9706427  0.9008089  0.9213092
  0.4  3          0.6               0.75       150      0.9723427  0.8948930  0.9251393
  0.4  3          0.6               1.00        50      0.9578804  0.9015730  0.8968199
  0.4  3          0.6               1.00       100      0.9717850  0.9036684  0.9215413
  0.4  3          0.6               1.00       150      0.9737523  0.9021398  0.9235144
  0.4  3          0.8               0.50        50      0.9696174  0.9078654  0.9175952
  0.4  3          0.8               0.50       100      0.9735840  0.9017575  0.9237465
  0.4  3          0.8               0.50       150      0.9737002  0.8962274  0.9245590
  0.4  3          0.8               0.75        50      0.9702141  0.9072907  0.9185237
  0.4  3          0.8               0.75       100      0.9748788  0.8971822  0.9261838
  0.4  3          0.8               0.75       150      0.9746682  0.8922224  0.9262999
  0.4  3          0.8               1.00        50      0.9723498  0.9097711  0.9188719
  0.4  3          0.8               1.00       100      0.9754241  0.8990896  0.9265320
  0.4  3          0.8               1.00       150      0.9763178  0.8956553  0.9264160

Tuning parameter 'gamma' was held constant at a value of 0
Tuning parameter 'min_child_weight' was held constant at a value of 1
ROC was used to select the optimal model using the largest value.
The final values used for the model were nrounds = 150, max_depth = 3, eta = 0.4, gamma = 0, colsample_bytree = 0.8, min_child_weight =
 1 and subsample = 1.
